metric,dimension,key,value,unit,refresh,source
dependency_vulnerabilities,ecosystem,python_prod.advisories,4,count,pre-computed,ISSUES.md:13
dependency_vulnerabilities,ecosystem,python_prod.packages,3,count,pre-computed,ISSUES.md:13
dependency_vulnerabilities,ecosystem,python_dev.advisories,19,count,pre-computed,ISSUES.md:14
dependency_vulnerabilities,ecosystem,python_dev.packages,8,count,pre-computed,ISSUES.md:14
dependency_vulnerabilities,ecosystem,frontend.advisories,13,count,pre-computed,ISSUES.md:15
dependency_vulnerabilities,ecosystem,frontend.high,12,count,pre-computed,ISSUES.md:15
dependency_vulnerabilities,ecosystem,frontend.moderate,1,count,pre-computed,ISSUES.md:15
dependency_vulnerabilities,ecosystem,websocket.advisories,2,count,pre-computed,ISSUES.md:16
dependency_vulnerabilities,ecosystem,websocket.high,2,count,pre-computed,ISSUES.md:16
dependency_vulnerabilities,stale_override,brace-expansion,5.0.8->=5.0.9,version,pre-computed,ISSUES.md:82
dependency_vulnerabilities,stale_override,js-yaml,4.3.0->4.3.0,version,pre-computed,ISSUES.md:83
dependency_vulnerabilities,stale_override,dompurify,3.4.12->3.4.12,version,pre-computed,ISSUES.md:84
dependency_vulnerabilities,stale_override,nanoid,<3.3.18->3.3.18,version,pre-computed,ISSUES.md:85
sast_code_quality,bandit,total,266,count,pre-computed,ISSUES.md:17
sast_code_quality,bandit,high,6,count,pre-computed,ISSUES.md:17
sast_code_quality,bandit,medium,41,count,pre-computed,ISSUES.md:17
sast_code_quality,bandit,low,219,count,pre-computed,ISSUES.md:17
sast_code_quality,bandit_rule,B324,6,count,pre-computed,ISSUES.md:43
sast_code_quality,bandit_rule,B704,7,count,pre-computed,ISSUES.md:50
sast_code_quality,bandit_rule,B608,25,count,pre-computed,ISSUES.md:52
sast_code_quality,bandit_rule,B301,3,count,pre-computed,ISSUES.md:51
sast_code_quality,bandit_rule,B310,3,count,pre-computed,ISSUES.md:52
sast_code_quality,bandit_rule,B102,2,count,pre-computed,ISSUES.md:51
sast_code_quality,bandit_rule,B104,1,count,pre-computed,ISSUES.md:52
sast_code_quality,oxlint,total_warnings,1480,count,pre-computed,ISSUES.md:20
sast_code_quality,oxlint_rule,prefer-destructuring,573,count,pre-computed,ISSUES.md:54
sast_code_quality,oxlint_rule,react-hooks/exhaustive-deps,382,count,pre-computed,ISSUES.md:54
sast_code_quality,oxlint_rule,no-unstable-nested-components,151,count,pre-computed,ISSUES.md:54
sast_code_quality,oxlint_rule,no-console,139,count,pre-computed,ISSUES.md:54
sast_code_quality,oxlint_rule,jsx-key,80,count,pre-computed,ISSUES.md:54
sast_code_quality,oxlint_rule,rules-of-hooks,47,count,pre-computed,ISSUES.md:54
agent_pr_throughput,github,prs_opened,3,count,live,github-api
agent_pr_throughput,github,prs_merged,1,count,live,github-api
agent_pr_throughput,github,review_comments_raised,1,count,live,github-api
agent_pr_throughput,github,review_comments_resolved,0,count,live,github-api
